SA2_CODE21,SA2_NAME21,library_count,x,y
206011496,Brunswick - South,1,144.9597289935926,-37.77154214321798
206011497,Coburg - East,1,144.97185497008303,-37.74561044694683
206021499,Northcote - East,1,145.006697765953,-37.77426191818712
206041117,Carlton,2,144.96779524448633,-37.8004807112168
206041118,Docklands,1,144.94326018944574,-37.81794982701986
206041119,East Melbourne,1,144.9814843205688,-37.81713692770874
206041125,South Yarra - West,1,144.9818555141687,-37.83946943506962
206041503,Melbourne CBD - East,2,144.96858928984983,-37.812815699130674
206041509,Southbank - East,1,144.96613381399595,-37.82639481245826
206051128,Albert Park,1,144.96404200208704,-37.84561849016902
206051130,Port Melbourne,1,144.93499934993434,-37.838055092177015
206051512,South Melbourne,1,144.95971440710315,-37.834657064798456
206061136,Prahran - Windsor,1,144.9980468068493,-37.85283789399486
206071143,Fitzroy North,1,144.9843231044426,-37.78403202568857
207011149,Camberwell,1,145.07401397797918,-37.83842495677228
207021157,Doncaster,1,145.12387154649505,-37.78482645908704
207031163,Box Hill,1,145.124717516825,-37.829020164366504
208041194,Malvern - Glen Iris,1,145.04223893871537,-37.85639731407664
209011197,Greensborough,1,145.11388594095578,-37.700069454001145
209011198,Heidelberg - Rosanna,1,145.0696814837798,-37.745682018498826
209021429,Preston - West,1,144.99010383384163,-37.739920008687136
209031209,Eltham,1,145.15678921697943,-37.714722240916274
210041240,Sunbury,1,144.76757238055373,-37.539409769759
210051242,Broadmeadows,1,144.9293091603701,-37.68407535656854
211041271,Nunawading,1,145.17652183861344,-37.8173977935332
212031300,Cranbourne,1,145.2757208767896,-38.10688665005949
212041317,Springvale,1,145.15780805904552,-37.94567574077029
212051321,Glen Waverley - East,1,145.1783918568032,-37.88148909197546
212051323,Mount Waverley - North,1,145.13023295032562,-37.866447434152384
212051326,Oakleigh - Huntingdale,1,145.10121856300984,-37.90845325765007
212051327,Wheelers Hill,1,145.18687328058112,-37.90759743342472
213011336,Sunshine,1,144.83422507060016,-37.78931656539278
213021341,Altona,1,144.8150212714531,-37.86029389198769
213021344,Newport,1,144.88228211179455,-37.83763854723024
213021346,Williamstown,1,144.8848595253647,-37.85912786262698
213031348,Footscray,1,144.89728307430866,-37.798098532660745
213041577,Melton,1,144.59582069315857,-37.685735845889276
213051368,Werribee - South,1,144.65287786561564,-37.95134026342304
213051466,Point Cook - South,1,144.7334631949829,-37.911339625193136
214011371,Frankston,1,145.13965452857974,-38.15408953630297
